episode,return_mean
23928,0.1469
23952,0.2747
23976,0.1662
24000,0.4528
24024,0.3594
24048,0.4999
24072,0.6648
24096,0.8073
24120,0.557
24144,0.6822
24168,0.7183
24192,0.5927
24216,0.6013
24240,0.5623
24264,0.4444
24288,0.3296
24312,0.4285
24336,0.3389
24360,0.3398
24384,0.3561
24408,0.3616
24432,0.2606
24456,0.3633
24480,0.4591
24504,0.3824
24528,0.3717
24552,0.3999
24576,0.3571
24600,0.3906
24624,0.5991
24648,0.5456
24672,0.6576
24696,0.5027
24720,0.3544
24744,0.2613
24768,0.3933
24792,0.2429
24816,0.244
24840,0.3144
24864,0.2636
24888,0.2258
24912,0.0898
24936,0.1616
24960,0.1463
24984,0.2092
25008,0.1611
25032,0.2636
25056,0.3231
25080,0.3411
25104,0.3548
25128,0.3911
25152,0.2302
25176,0.16
25200,0.0178
25224,-0.1615
25248,-0.2896
25272,-0.1656
25296,-0.0531
25320,0.0506
25344,0.2718
25368,0.3208
25392,0.3817
25416,0.3451
25440,0.3629
25464,0.3362
25488,0.2804
25512,0.3378
25536,0.3028
25560,0.2392
25584,0.3253
25608,0.4382
25632,0.3648
25656,0.3595
25680,0.5603
25704,0.4567
25728,0.4242
25752,0.5418
25776,0.6599
25800,0.6254
25824,0.5814
25848,0.5425
25872,0.3408
25896,0.135
25920,0.1294
25944,0.2058
25968,0.202
25992,0.3301
26016,0.4591
26040,0.5414
26064,0.5524
26088,0.7049
26112,0.6217
26136,0.7353
26160,0.5475
26184,0.4505
26208,0.5363
26232,0.6303
26256,0.4919
26280,0.6971
26304,0.6953
26328,0.5125
26352,0.5555
26376,0.7106
26400,0.574
26424,0.7227
26448,0.7812
26472,0.7913
26496,0.6409
26520,0.7364
26544,0.7965
26568,0.8939
26592,0.7227
26616,0.8516
26640,0.7168
26664,0.5136
26688,0.3743
26712,0.3512
26736,0.1855
26760,0.0736
26784,0.1747
26808,0.5162
26832,0.6674
26856,0.7264
26880,0.8358
26904,0.9437
26928,0.8062
26952,0.7153
26976,0.7679
27000,0.7192
27024,0.588
27048,0.3687
27072,0.5835
27096,0.508
27120,0.4392
27144,0.3073
27168,0.3003
27192,0.1346
27216,0.1166
27240,0.3694
27264,0.6153
27288,0.7359
27312,0.7352
27336,0.702
27360,0.5105
27384,0.3486
27408,0.4348
27432,0.4631
27456,0.5623
27480,0.6192
27504,0.6182
27528,0.4396
27552,0.7503
27576,0.8154
27600,0.9072
27624,0.8922
27648,0.9112
27672,0.5789
27696,0.4404
27720,0.3727
27744,0.4656
27768,0.4782
27792,0.4212
27816,0.4352
27840,0.2797
27864,0.1625
27888,0.1576
27912,0.0998
27936,0.2352
27960,0.4454
27984,0.5581
28008,0.6659
28032,0.7681
28056,0.6816
28080,0.6349
28104,0.5119
28128,0.5022
28152,0.5134
28176,0.661
28200,0.6061
28224,0.9123
28248,0.9069
28272,0.7647
28296,0.6975
28320,0.7713
28344,0.6004
28368,0.5929
28392,0.8795
28416,0.7258
28440,0.7246
28464,0.6038
28488,0.6192
28512,0.5108
28536,0.509
28560,0.5536
28584,0.6901
28608,0.6717
28632,0.6098
28656,0.6688
28680,0.7198
28704,0.6445
28728,0.6096
28752,0.5568
28776,0.4991
28800,0.3142
28824,0.1278
28848,0.0393
28872,0.0244
28896,0.0954
28920,0.2471
28944,0.4845
28968,0.5589
28992,0.6163
29016,0.6859
29040,0.7011
29064,0.5686
29088,0.4566
29112,0.5127
29136,0.4778
29160,0.213
29184,0.4629
29208,0.5537
29232,0.4639
29256,0.4596
29280,0.7647
29304,0.5815
29328,0.4492
29352,0.432
29376,0.4336
29400,0.1862
29424,0.0634
29448,0.1711
29472,0.2063
29496,0.1607
29520,0.219
29544,0.5344
29568,0.6132
29592,0.5933
29616,0.6673
29640,0.8459
29664,0.6952
29688,0.7066
29712,0.7497
29736,0.7171
29760,0.4797
29784,0.4627
29808,0.3308
29832,0.3096
29856,0.4294
29880,0.4663
29904,0.5158
29928,0.4943
29952,0.544
29976,0.3466
30000,0.6671
30024,0.6681
30048,0.7169
30072,0.6456
30096,0.651
30120,0.396
30144,0.1164
30168,0.1297
30192,0.0017
30216,0.0556
30240,0.1603
30264,0.3711
30288,0.2018
30312,0.4806
30336,0.4034
30360,0.2182
30384,0.1352
30408,0.3038
30432,0.1922
30456,0.3492
30480,0.4227
30504,0.4046
30528,0.6159
30552,0.6021
30576,0.5943
30600,0.5735
30624,0.7275
30648,0.511
30672,0.5073
30696,0.3138
30720,0.3557
30744,0.2592
30768,0.1915
30792,0.0691
30816,0.0198
30840,-0.1302
30864,-0.1017
30888,-0.0783
30912,0.126
30936,0.4425
30960,0.5989
30984,0.7104
31008,0.7945
31032,0.6982
31056,0.5774
31080,0.4336
31104,0.311
31128,0.2991
31152,0.3225
31176,0.3062
31200,0.318
31224,0.2944
31248,0.3602
31272,0.1751
31296,0.2062
31320,0.2891
31344,0.3912
31368,0.2282
31392,0.4398
31416,0.2628
31440,0.3263
31464,0.3378
31488,0.3567
31512,0.3789
31536,0.4206
31560,0.3601
31584,0.2647
31608,0.2769
31632,0.2456
31656,0.296
31680,0.3877
31704,0.3258
31728,0.3659
31752,0.3293
31776,0.4469
31800,0.2251
31824,0.1814
31848,0.1905
31872,0.264
31896,0.0983
31920,0.1518
31944,0.397
31968,0.4006
31992,0.3905
32016,0.4741
32040,0.5319
32064,0.3174
32088,0.3575
32112,0.1847
32136,0.3091
32160,0.4039
32184,0.4726
32208,0.397
32232,0.6415
32256,0.454
32280,0.2358
32304,0.3659
32328,0.3311
32352,0.1999
32376,0.1308
32400,0.4702
32424,0.6287
32448,0.5634
32472,0.4457
32496,0.4693
32520,0.1801
32544,-0.2206
32568,-0.0391
32592,0.1709
32616,0.2778
32640,0.218
32664,0.2908
32688,0.2349
32712,0.1942
32736,0.1109
32760,0.2046
32784,0.1967
32808,0.3299
32832,0.3399
32856,0.3747
32880,0.2865
32904,0.339
32928,0.2626
32952,0.1061
32976,0.2618
33000,0.385
33024,0.3395
33048,0.27
33072,0.3242
33096,0.1237
33120,0.0036
33144,0.0722
33168,0.1349
33192,0.3251
33216,0.4421
33240,0.6269
33264,0.6259
33288,0.5013
33312,0.3681
33336,0.3765
33360,0.3078
33384,0.3234
33408,0.3688
33432,0.2332
33456,0.2373
33480,0.2034
33504,0.1747
33528,0.1058
33552,0.2285
33576,0.0948
33600,0.0321
33624,0.2034
33648,0.2832
33672,0.2642
33696,0.3104
33720,0.4378
33744,0.2538
33768,0.3365
33792,0.3412
33816,0.2849
33840,0.2938
33864,0.1947
33888,0.096
33912,0.0326
33936,0.2441
33960,0.1209
33984,0.2393
34008,0.2444
34032,0.3635
34056,0.2333
34080,0.3653
34104,0.4728
34128,0.525
34152,0.5036
34176,0.4911
34200,0.5988
34224,0.5593
34248,0.5945
34272,0.8185
34296,0.9342
34320,0.7149
34344,0.6082
34368,0.7637
34392,0.5357
34416,0.5659
34440,0.5701
34464,0.5592
34488,0.2858
34512,0.2727
34536,0.1353
34560,0.2372
34584,0.2309
34608,0.2509
34632,0.3156
34656,0.2445
34680,0.1695
34704,0.2214
34728,0.2952
34752,0.2879
34776,0.2722
34800,0.4457
34824,0.3279
34848,0.3531
34872,0.3859
34896,0.4536
34920,0.3075
34944,0.5783
34968,0.5193
34992,0.5167
35016,0.556
35040,0.5689
35064,0.559
35088,0.6535
35112,0.5395
35136,0.6291
35160,0.6739
35184,0.6778
35208,0.6817
35232,0.9188
35256,0.8723
35280,0.8927
35304,0.6504
35328,0.5494
35352,0.4857
35376,0.5519
35400,0.5044
35424,0.7061
35448,0.8419
35472,0.7534
35496,0.607
35520,0.757
35544,0.6078
35568,0.561
35592,0.6283
35616,0.7328
35640,1.0667
35664,1.3433
35688,1.3732
35712,1.4891
35736,1.5157
35760,1.0953
35784,1.1814
35808,1.1807
35832,1.1577
35856,1.1493
35880,1.1176
35904,0.9241
35928,1.0569
35952,0.9219
35976,0.9754
36000,0.9232
36024,0.7942
36048,0.7518
36072,0.6543
36096,0.6871
36120,0.6492
36144,0.7094
36168,0.7256
36192,0.6175
36216,0.4753
36240,0.4112
36264,0.6011
36288,0.3317
36312,0.5287
36336,0.6436
36360,1.0209
36384,0.8162
36408,1.1981
36432,1.084
36456,1.0349
36480,0.9088
36504,0.8371
36528,0.7384
36552,0.8791
36576,0.7998
36600,0.6525
36624,0.7956
36648,0.785
36672,1.0276
36696,0.9241
36720,1.0368
36744,1.0478
36768,0.8402
36792,0.554
36816,1.0179
36840,0.915
36864,0.7927
36888,0.951
36912,1.0559
