episode,return_mean
33512,-19.2399
33544,-18.2399
33576,-19.0711
33608,-19.2824
33640,-16.2682
33672,-17.2191
33704,-18.8944
33736,-16.4438
33768,-15.2347
33800,-15.5831
33832,-14.0958
33864,-13.8349
33888,-13.2106
33912,-12.4637
33936,-11.4927
33960,-12.2939
33992,-11.5749
34024,-12.8577
34056,-13.5325
34088,-14.8066
34120,-17.2295
34152,-18.0886
34184,-17.7028
34216,-18.3907
34248,-18.3747
34280,-15.0686
34304,-13.5493
34328,-11.4082
34360,-11.8481
34384,-10.9367
34416,-12.509
34448,-13.1977
34480,-17.0974
34512,-15.8552
34544,-17.4408
34568,-16.6467
34600,-17.6857
34632,-17.2982
34656,-17.6317
34680,-17.1209
34712,-16.6548
34744,-15.3768
34776,-13.9497
34800,-13.6863
34832,-13.3855
34856,-13.1601
34888,-13.4979
34920,-14.5984
34952,-15.0562
34984,-13.7106
35016,-14.0785
35040,-13.0236
35072,-12.5941
35096,-11.1723
35120,-11.3826
35152,-11.8615
35176,-13.3763
35200,-13.5495
35232,-13.5249
35256,-13.7558
35280,-11.9796
35312,-11.8929
35336,-10.9163
35368,-10.8143
35400,-12.1895
35424,-12.7646
35448,-11.2673
35480,-11.4112
35504,-9.7704
35528,-7.7786
35560,-9.1492
35592,-11.4543
35624,-12.8338
35656,-16.3826
35680,-16.9908
35712,-16.2683
35744,-15.8557
35768,-12.8863
35792,-11.6436
35824,-13.4733
35848,-13.6565
35872,-11.8442
35896,-12.2031
35928,-12.3729
35960,-10.8602
35992,-11.6493
36016,-10.1688
36040,-11.1243
36072,-11.5899
36096,-10.1132
36120,-7.5046
36152,-10.5148
36184,-10.8122
36216,-11.2788
36248,-13.3668
36280,-16.1937
36312,-16.5971
36344,-17.6984
36376,-16.0626
36408,-16.2292
36440,-15.4597
36472,-14.8035
36504,-13.7019
36528,-13.994
36560,-14.3524
36584,-14.3748
36616,-14.3866
36648,-15.3532
36680,-14.9726
36712,-15.6514
36744,-16.7177
36776,-16.5479
36808,-18.3732
36832,-18.9146
36864,-19.3753
36888,-18.0306
36920,-17.7927
36952,-16.1533
36984,-16.8606
37008,-14.5248
37040,-14.5812
37072,-13.8051
37104,-12.3291
37128,-11.1466
37152,-10.6988
37176,-10.5882
37208,-11.0379
37232,-10.9931
37256,-10.5846
37288,-12.5869
37312,-12.6334
37344,-12.4328
37368,-11.4097
37400,-12.5939
37432,-12.6741
37464,-13.1266
37496,-13.3236
37528,-16.025
37560,-15.1679
37592,-14.1791
37624,-13.4047
37656,-15.6867
37680,-15.4255
37712,-18.5034
37744,-19.3125
37768,-19.3264
37800,-19.0272
37832,-18.5984
37864,-17.3441
37896,-18.4117
37928,-21.1501
37960,-20.7906
38000,-21.8608
38032,-20.9069
38056,-18.5947
38080,-15.3257
38112,-14.5066
38144,-14.5708
38176,-14.7533
38208,-16.3761
38232,-17.7689
38264,-18.4528
38288,-16.6384
38312,-15.1818
38336,-13.3675
38360,-13.2733
38392,-13.5352
38416,-13.0359
38440,-13.9523
38472,-15.1362
38496,-16.3409
38528,-15.7928
38560,-16.2327
38592,-17.6461
38624,-19.2568
38648,-17.5365
38680,-18.4084
38712,-20.4262
38736,-19.0911
38768,-17.1919
38800,-17.7501
38832,-16.6427
38856,-15.5388
38888,-16.0138
38920,-15.2367
38944,-14.9151
38976,-16.1584
39000,-15.1583
39032,-16.7795
39064,-17.6115
